Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Southern,Theft and related offences,2012,1,2707,1167000,182903,37721,724.51,1.7,0.6,0.8345,1.3201,261.7,213.3,19.3,9.7,65,16843,2812,Fine Gael,1163,11.5,82.7
Southern,Theft and related offences,2012,2,2713,1167000,179365,37721,724.47,1.7,0.6,0.8058,1.2526,417.4,383.8,19.3,9.7,65,16843,5411,Fine Gael,1163,11.5,82.7
Southern,Theft and related offences,2012,3,2542,1167000,180902,37721,735.8,1.7,0.6,0.7982,1.2856,412,322.3,19.3,9.7,65,16843,7712,Fine Gael,1163,11.5,82.7
Southern,Theft and related offences,2012,4,2597,1167000,172494,37721,739.33,1.7,0.6,0.8124,1.3119,301.7,362.1,19.3,9.7,65,16843,4778,Fine Gael,1163,11.5,82.7
Southern,Theft and related offences,2013,1,2678,1175700,175287,37819,740.66,0.5,0.7,0.86,1.2964,201.7,345.5,16.2,6.9,68,16328,3642,Fine Gael,1026,10.6,82
Southern,Theft and related offences,2013,2,2673,1175700,169699,37819,740.6,0.5,0.7,0.8519,1.3189,570.7,277.9,16.2,6.9,68,16328,5444,Fine Gael,1026,10.6,82
Southern,Theft and related offences,2013,3,2720,1175700,167658,37819,750.58,0.5,0.7,0.8417,1.3348,517.1,177.4,16.2,6.9,68,16328,7760,Fine Gael,1026,10.6,82
Southern,Theft and related offences,2013,4,2757,1175700,156629,37819,749.92,0.5,0.7,0.8364,1.3704,198.8,457.7,16.2,6.9,68,16328,4924,Fine Gael,1026,10.6,82
Southern,Theft and related offences,2014,1,2452,1178200,158539,39994,747.58,0.2,0,0.8317,1.3823,246.3,534.1,18.5,8.3,71,16329,3624,Fine Gael,982,11,82.5
Southern,Theft and related offences,2014,2,2735,1178200,153510,39994,748.82,0.2,0,0.8041,1.3592,504.4,260.8,18.5,8.3,71,16329,5567,Fine Gael,982,11,82.5
Southern,Theft and related offences,2014,3,2987,1178200,150166,39994,767.1,0.2,0,0.7911,1.2901,473.9,152.3,18.5,8.3,71,16329,8048,Fine Gael,982,11,82.5
Southern,Theft and related offences,2014,4,2850,1178200,139537,39994,771.89,0.2,0,0.7883,1.2331,256,432.5,18.5,8.3,71,16329,4956,Fine Gael,982,11,82.5
Eastern,Theft and related offences,2007,1,2485,796000,62508,60874,991.51,4.9,20.4,0.6802,1.3242,317.9,252.3,8.8,2.3,43,16776,3401,Fianna F‡il,1605,13.2,84
